id,name,adm1_code,num_employees_per_thousand_pop,num_businesses_per_thousand_pop,total_wages_thousands,avg_weekly_wage,avg_annual_pay,population,num_employees,num_businesses
1,Alabama,USA-3541,523.0358717,10.37916537,13368912,1017,52879,4833722,252821,5017
2,Alaska,USA-3563,195.7199523,7.141574574,605886,810,42110,735132,14388,525
3,Arizona,USA-3520,235.5482973,7.020165925,11038257,1360,70718,6626624,156089,4652
4,Arkansas,USA-3528,520.8062654,10.06632148,6785328,847,44024,2959373,154126,2979
5,California,USA-3521,329.7758579,10.65283444,102858859,1565,81368,38332521,1264114,40835
6,Colorado,USA-3522,258.5393159,10.30679905,8876464,1253,65168,5268367,136208,5430
7,Connecticut,USA-3537,443.8360659,12.82229539,12990893,1565,81393,3596080,159607,4611
8,Delaware,USA-3555,277.3105885,8.371599645,1529719,1146,59588,925749,25672,775
9,Florida,USA-3542,169.3148726,9.846641361,18379505,1068,55517,19552860,331059,19253
10,Georgia,USA-3543,365.0219217,9.300284913,20115436,1061,55151,9992167,364736,9293
11,Hawaii,USA-3517,99.05601921,6.566699002,573622,793,41244,1404054,13908,922
12,Idaho,USA-3518,371.3644506,14.89948739,3496913,1123,58409,1612136,59869,2402
13,Illinois,USA-3546,449.3377845,15.07281208,38125799,1267,65866,12882135,578843,19417
14,Indiana,USA-3547,771.8742419,12.83385447,29247955,1109,57667,6570902,507191,8433
15,Iowa,USA-3529,701.6951763,13.02090075,11800576,1046,54417,3090416,216853,4024
16,Kansas,USA-3530,561.1382616,10.80873005,8697256,1030,53558,2893957,162391,3128
17,Kentucky,USA-3548,533.8777033,9.997053668,12927472,1059,55091,4395295,234655,4394
18,Louisiana,USA-3535,318.0174123,9.730903022,9924521,1297,67469,4625470,147098,4501
19,Maine,USA-3561,377.7303655,13.2801125,2641678,1013,52651,1328302,50174,1764
20,Maryland,USA-3557,174.4547898,6.161434648,7276759,1353,70354,5928814,103431,3653
21,Massachusetts,USA-3513,373.9826417,10.52918768,20875989,1604,83404,6692824,250300,7047
22,Michigan,USA-3562,582.6576642,14.75399929,37171042,1240,64469,9895622,576576,14600
23,Minnesota,USA-3514,575.4153768,14.81630439,19054671,1175,61093,5420380,311897,8031
24,Mississippi,USA-3544,466.4805879,8.150555946,6372093,878,45667,2991207,139534,2438
25,Missouri,USA-3531,423.4311041,10.91133921,14099502,1059,55091,6044171,255929,6595
26,Montana,USA-3515,185.9697685,13.81056281,863271,879,45726,1015165,18879,1402
27,Nebraska,USA-3532,521.3763222,10.57523725,4459847,880,45779,1868516,97420,1976
28,Nevada,USA-3523,148.580571,6.992490689,2269054,1053,54734,2790136,41456,1951
29,New Hampshire,USA-3538,502.100934,15.21014251,4401359,1274,66235,1323459,66451,2013
30,New Jersey,USA-3558,270.0110649,9.946806162,19220478,1538,79988,8899339,240292,8852
31,New Mexico,USA-3524,134.1877641,8.152355048,1601206,1100,57223,2085287,27982,1700
32,New York,USA-3559,229.1074705,8.764891703,27988466,1195,62166,19651127,450222,17224
33,North Carolina,USA-3549,455.6379632,10.47515957,24772426,1062,55208,9848060,448715,10316
34,North Dakota,USA-3516,358.5464609,11.41841295,1290656,957,49761,723393,25937,826
35,Ohio,USA-3550,582.6982869,13.46664814,38757784,1105,57485,11570808,674229,15582
36,Oklahoma,USA-3533,361.7622127,11.34378097,7469378,1031,53621,3850568,139299,4368
37,Oregon,USA-3525,455.6107851,14.54683319,11461762,1231,64011,3930065,179058,5717
38,Pennsylvania,USA-3560,444.0174072,11.28559933,33209866,1126,58553,12773801,567179,14416
39,Rhode Island,USA-3539,388.2032618,15.63464386,2232859,1052,54700,1051511,40820,1644
40,South Carolina,USA-3545,482.0120637,10.97628632,12720588,1063,55270,4774839,230153,5241
41,South Dakota,USA-3534,501.7180016,12.77108976,1886462,856,44503,844877,42389,1079
42,Tennessee,USA-3551,500.0586517,9.696769293,18291746,1083,56311,6495978,324837,6299
43,Texas,USA-3536,335.2890687,8.711370187,63129005,1369,71189,26448193,886779,23040
44,Utah,USA-3526,413.1343955,13.30634375,6342506,1018,52923,2900872,119845,3860
45,Vermont,USA-3540,497.901473,16.93184176,1725075,1063,55290,626630,31200,1061
46,Virginia,USA-3552,280.1581763,7.203036655,13068126,1086,56469,8260405,231422,5950
47,Washington,USA-3519,409.3205876,10.41540257,21209680,1429,74328,6971406,285354,7261
48,West Virginia,USA-3554,257.6384455,6.972966676,2628371,1058,55017,1854304,47774,1293
49,Wisconsin,USA-3553,801.9693828,16.03945731,25040119,1046,54370,5742713,460548,9211
50,Wyoming,USA-3527,168.4006742,10.7438669,594217,1165,60562,582658,9812,626
